"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZYDUSWELL","EQ","24-Nov-2025","441.20","444.00","453.00","434.00","451.80","448.55","443.89","1,59,578","7,08,34,505.35","11,244","91,183","57.14"
"ZYDUSWELL","EQ","25-Nov-2025","448.55","445.00","446.05","432.40","443.00","441.70","438.25","1,55,936","6,83,39,249.90","10,718","62,260","39.93"
"ZYDUSWELL","EQ","26-Nov-2025","441.70","440.00","444.70","434.40","436.50","436.40","437.89","1,09,663","4,80,20,872.45","13,137","54,805","49.98"
"ZYDUSWELL","EQ","27-Nov-2025","436.40","439.00","439.35","432.00","432.80","433.40","434.82","78,696","3,42,18,678.25","5,636","38,326","48.70"
"ZYDUSWELL","EQ","28-Nov-2025","433.40","436.00","436.05","427.05","431.00","430.45","431.40","95,655","4,12,65,622.75","8,646","40,854","42.71"
"ZYDUSWELL","EQ","01-Dec-2025","430.45","434.60","434.60","424.20","432.00","431.80","429.61","1,81,213","7,78,50,823.70","11,749","84,493","46.63"
"ZYDUSWELL","EQ","02-Dec-2025","431.80","430.00","432.80","424.20","426.80","425.55","428.25","84,541","3,62,04,570.10","5,906","42,026","49.71"
"ZYDUSWELL","EQ","03-Dec-2025","425.55","426.20","426.55","414.15","421.40","419.70","418.35","1,85,355","7,75,42,448.95","10,448","98,014","52.88"
"ZYDUSWELL","EQ","04-Dec-2025","419.70","419.00","422.60","414.00","415.70","416.10","418.86","1,06,626","4,46,61,428.15","6,161","52,934","49.64"
"ZYDUSWELL","EQ","05-Dec-2025","416.10","416.10","416.55","408.00","410.00","409.80","411.20","1,28,999","5,30,44,667.05","9,867","65,259","50.59"
"ZYDUSWELL","EQ","08-Dec-2025","409.80","409.80","414.90","404.00","411.85","412.40","410.24","2,29,564","9,41,75,238.85","12,698","1,32,475","57.71"
"ZYDUSWELL","EQ","09-Dec-2025","412.40","411.05","426.50","406.35","426.50","423.85","417.27","1,18,670","4,95,16,869.25","6,682","66,796","56.29"
"ZYDUSWELL","EQ","10-Dec-2025","423.85","425.90","432.25","421.60","426.00","424.70","426.49","1,27,658","5,44,45,044.85","11,246","61,669","48.31"
"ZYDUSWELL","EQ","11-Dec-2025","424.70","423.85","429.30","416.30","425.00","424.75","423.14","78,716","3,33,07,858.20","7,191","34,549","43.89"
